103.135.35.58 - - [05/May/2023:00:07:39 +0900] "GET /stacks HTTP/1.1" 404 721
218.108.40.59 - - [05/May/2023:00:32:08 +0900] "GET /stacks HTTP/1.1" 404 721
198.199.92.19 - - [05/May/2023:00:44:18 +0900] "-" 400 2163
47.96.228.248 - - [05/May/2023:00:45:08 +0900] "GET /stacks HTTP/1.1" 404 721
140.249.194.11 - - [05/May/2023:01:08:33 +0900] "GET /stacks HTTP/1.1" 404 721
188.166.14.121 - - [05/May/2023:01:15:24 +0900] "GET /stacks HTTP/1.1" 404 721
140.249.162.78 - - [05/May/2023:01:23:21 +0900] "GET /stacks HTTP/1.1" 404 721
200.137.221.164 - - [05/May/2023:01:24:28 +0900] "GET /stacks HTTP/1.1" 404 721
121.48.163.99 - - [05/May/2023:01:45:15 +0900] "GET /stacks HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/May/2023:01:55:54 +0900] "GET / HTTP/1.1" 200 38774
0:0:0:0:0:0:0:1 - - [05/May/2023:01:55:54 +0900] "GET /web-component/hoverbox/hoverbox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2023:01:55:54 +0900] "GET /web-component/carousel/carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2023:01:55:54 +0900] "GET /css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2023:01:55:54 +0900] "GET /css/view/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2023:01:55:54 +0900] "GET /css/layout/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2023:01:55:54 +0900] "GET /css/layout/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2023:01:55:54 +0900] "GET /web-component/carousel/carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2023:01:55:54 +0900] "GET /web-component/hoverbox/hoverbox.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2023:01:55:54 +0900] "GET /js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2023:01:55:54 +0900] "GET /images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2023:01:55:54 +0900] "GET /videos/banner.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2023:01:55:54 +0900] "GET /videos/deco7.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2023:01:55:54 +0900] "GET /videos/deco6.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2023:01:56:05 +0900] "GET /product/best HTTP/1.1" 200 30888
0:0:0:0:0:0:0:1 - - [05/May/2023:01:56:05 +0900] "GET /css/test.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2023:01:56:05 +0900] "GET /css/view/product.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2023:01:56:05 +0900] "GET /images/logoDark.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2023:01:56:05 +0900] "GET /js/product.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2023:01:56:05 +0900] "GET /videos/productbanner/best.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2023:01:56:13 +0900] "GET / HTTP/1.1" 200 38774
0:0:0:0:0:0:0:1 - - [05/May/2023:01:56:15 +0900] "GET /static/js/bootstrap.bundle.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/May/2023:01:56:15 +0900] "GET /css/view/1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2023:01:56:15 +0900] "GET /product-detail?product_id=23 HTTP/1.1" 200 40419
